,index,type,x,y,old_index
100,100,0,96.1592,56.7858,100
101,101,0,95.9517,56.775,101
102,102,0,90.9053,56.7636,102
103,103,0,95.8697,56.7317,103
104,104,0,96.2911,56.7117,104
105,105,0,93.3231,56.6994,105
106,106,0,90.3761,56.6794,106
107,107,0,90.7669,56.6669,107
108,108,0,96.4111,56.6525,108
109,109,0,91.0092,56.6231,109
110,110,0,96.3314,56.6136,110
111,111,0,96.0622,56.5775,111
112,112,1,92.5819,56.5678,112
113,113,0,90.1575,56.5547,113
114,114,0,90.1147,56.5367,114
115,115,0,96.0103,56.5222,115
116,116,0,92.5586,56.4889,116
117,117,0,90.4614,56.4625,117
118,118,0,90.0656,56.4556,118
119,119,0,95.7814,56.4411,119
120,120,0,89.7294,56.4306,120
121,121,0,96.0597,56.4086,121
122,122,0,90.7442,56.3992,122
123,123,2,90.4314,56.3892,123
124,124,0,92.5142,56.3797,124
125,125,0,92.7333,56.3683,125
126,126,0,96.1106,56.3561,126
127,127,0,96.3408,56.3506,127
128,128,0,95.7586,56.3428,128
129,129,0,90.7244,56.3303,129
130,130,0,89.3283,56.3156,130
131,131,0,92.6603,56.3111,131
132,132,0,96.0633,56.3072,132
133,133,0,89.4464,56.3042,133
134,134,0,96.1803,56.2947,134
135,135,0,96.0169,56.2906,135
136,136,0,89.8797,56.2819,136
137,137,0,90.2594,56.2714,137
138,138,1,89.6211,56.2525,138
139,139,0,92.4572,56.2408,139
140,140,0,92.1503,56.2306,140
141,141,0,96.2989,56.2242,141
142,142,0,93.2531,56.2153,142
143,143,0,93.3406,56.1975,143
144,144,0,92.8947,56.1844,144
145,145,0,93.2358,56.1669,145
146,146,0,89.7808,56.1533,146
147,147,1,93.1439,56.1428,147
148,148,0,92.7681,56.1378,148
149,149,0,90.7461,56.1219,149
150,150,0,90.3317,56.1186,150
151,151,0,92.7503,56.0986,151
152,152,1,90.3381,56.0761,152
153,153,0,93.3236,56.0656,153
154,154,0,93.3586,56.0439,154
155,155,0,93.2669,56.0042,155
156,156,0,96.1733,55.9561,156
157,157,0,93.2708,55.9319,157
158,158,0,93.2339,55.8728,158
159,159,0,96.1511,55.8506,159
160,160,0,95.2811,55.8036,160
161,161,0,96.6231,55.7897,161
162,162,0,96.4178,55.7422,162
163,163,1,96.2939,55.7128,163
164,164,1,93.0031,55.6925,164
165,165,0,95.5881,55.6044,165
166,166,0,91.3806,55.5589,166
167,167,0,91.4592,55.5231,167
168,168,0,91.5683,55.5022,168
169,169,0,91.2625,55.4864,169
170,170,0,91.8542,55.4678,170
171,171,0,90.9942,55.4078,171
172,172,0,95.7764,55.3803,172
173,173,1,92.0883,55.3544,173
174,174,0,91.4519,55.3231,174
175,175,0,91.5014,55.2867,175
176,176,0,92.3419,55.2361,176
177,177,1,91.8875,55.2008,177
178,178,0,91.035,55.1831,178
179,179,0,92.1483,54.9553,179
180,180,0,92.44,54.5622,180
181,181,0,92.5333,54.5436,181
182,182,0,92.5497,54.445,182
183,183,0,91.9939,54.3894,183
184,184,0,92.6394,54.3214,184
185,185,0,92.1008,54.2128,185
186,186,0,92.625,53.3258,186
187,187,1,92.4469,53.2669,187
188,188,0,92.5969,53.2386,188
189,189,0,92.9067,53.1472,189
190,190,0,92.4164,53.0344,190
191,191,0,94.0764,56.3431,191
192,192,0,94.6631,56.3516,192
193,193,0,95.453,56.823,193
194,194,0,96.2012,56.8509,194
195,195,0,93.5644,56.5181,195
196,196,0,91.0846,56.4809,196
197,197,0,90.8609,57.0725,197
198,198,0,90.586,55.5784,198
199,199,0,93.038,55.4967,199
200,200,0,93.1984,54.7355,200
201,201,0,93.6373,54.6655,201
202,202,0,92.4755,54.9216,202
203,203,0,93.199,55.03,203
204,204,0,94.5959,56.4897,204
205,205,0,91.2592,56.4421,205
206,206,0,93.8596,57.0925,206
207,207,0,94.4248,57.0838,207
208,208,0,94.828,56.8895,208
209,209,0,94.2732,56.7307,209
210,210,0,93.5106,56.8924,210
211,211,0,91.0467,56.7145,211
212,212,0,94.43655287123622,64.60597820626793,212
213,213,1,98.86221034978156,54.04245962479089,213
214,214,0,105.97857699365662,61.450590702573784,214
215,215,1,97.58697564001412,64.32670975183899,215
216,216,0,95.57856581449018,46.40356960433438,216
217,217,0,86.40133500698559,53.19095257283307,217
218,218,0,98.48254566323054,39.8321574584546,218
219,219,0,105.33775457009426,51.73450186811721,221
220,220,0,98.28340575829836,57.411247017073805,222
221,221,1,106.28809515404744,76.30872949808048,223
222,222,0,96.6527686227744,50.63098165153495,225
223,223,0,102.51729043347959,69.94989174905326,226
224,224,0,98.22290411502397,56.52808361586806,227
225,225,0,87.55645676981013,71.94407530161065,229
226,226,0,99.8617334015291,52.01343459312053,232
227,227,0,101.61626323331193,53.7634674801048,235
228,228,2,84.66022701086901,38.417166909826165,236
229,229,0,92.40054774855373,45.91778458853814,238
230,230,0,83.17738481844123,56.33433671228386,239
231,231,1,102.65945336726853,69.90752901358363,240
232,232,0,88.82040429873588,58.364265100929565,241
233,233,0,92.31183144010942,50.59972221977628,242
234,234,0,99.47791248985031,52.68714570152412,243
235,235,0,97.09482350918515,54.73531869163338,244
236,236,0,86.76628806895027,57.114391411196934,245
237,237,0,96.20484913610655,45.652199935445694,246
238,238,0,87.07153356663768,62.72513766882517,247
239,239,0,100.69831061801398,62.78314754603899,249
240,240,0,87.65173914064057,59.87100593924108,250
241,241,0,89.92768775521837,57.47101847191681,251
242,242,0,90.70165431531397,59.063781678779144,252
243,243,0,87.77128233361262,52.76947355439197,253
244,244,0,90.70103492321617,58.48110912505547,255
245,245,0,104.04232177307705,57.72255475712247,257
246,246,1,109.98623639552254,55.639248028496965,258
247,247,0,76.55436496791305,62.52274061289728,260
248,248,1,97.67153709324263,49.87002090833478,261
249,249,0,87.46219763460164,57.21399523810587,262
250,250,1,90.33790347405166,65.02943869380543,263
251,251,0,88.31157477949847,52.28626149102699,264
252,252,0,105.32892837480016,45.756325142025084,265
253,253,0,98.1436427208193,51.06300561482703,266
254,254,0,97.45802540363121,50.58007931399089,267
255,255,0,93.1785229877578,50.24887878434583,269
256,256,1,88.69025051719026,46.01008693899538,271
257,257,0,102.74048142955465,52.02299017815093,272
258,258,0,93.34570025165617,60.49704285580051,275
259,259,0,93.55002954614079,55.33539578739659,276
260,260,0,86.9961216357953,42.02434945929876,278
261,261,0,98.19982282345046,52.65660892103679,280
262,262,1,104.18802114858363,40.102054589733136,283
263,263,0,93.77111853066808,48.455008076373055,284
264,264,0,83.12057774763443,53.58304211602003,285
265,265,0,77.65232164632488,47.81140249424568,286
266,266,0,91.0082004319043,50.52998015572895,288
267,267,0,93.72863084634007,66.10074726813147,289
268,268,0,86.46870859353852,55.72601040351953,290
269,269,0,98.84245981733346,54.2934776548455,294
270,270,0,88.95664830756095,66.66783075668683,296
271,271,1,92.98718013941928,55.60717078799537,298
272,272,0,111.40100701783933,52.462154500014584,299
273,273,0,99.7725161231408,52.247747383466255,300
274,274,2,79.52160852331593,42.19807395319296,301
275,275,1,98.80215032785381,54.362526348631256,302
276,276,1,79.12694468900025,53.67206563358946,303
277,277,0,92.81560837569641,58.87805792372654,306
278,278,0,88.42755856835339,48.226524994155056,310
279,279,0,96.43476905851325,65.50848131164551,311
280,280,0,85.67524104129137,55.94682855417653,312
281,281,0,100.20562588577268,54.89796771467928,313
282,282,0,82.55996355797464,52.57076019884935,314
283,283,0,98.76048367830232,59.72424471030209,318
284,284,0,97.4298111589032,52.298909440689926,320
285,285,0,103.8054632884826,62.796794016205794,322
286,286,0,84.61125878346218,52.17934858437948,323
287,287,1,96.39927168135188,55.00071976200444,324
288,288,0,96.21963725487004,48.15704386491954,325
289,289,0,97.41002717965439,65.9217703857999,328
290,290,0,88.30524777454787,37.977445377670335,329
291,291,0,97.77679836143727,65.35107937061191,331
292,292,0,104.35741167733107,65.84374260755573,332
293,293,0,88.85515776436931,66.35438038023412,334
294,294,2,103.45568864534364,52.086581266088956,335
295,295,0,94.05105051718867,65.96417580599812,336
296,296,0,99.30300211150627,53.299577811931144,340
297,297,0,98.27841479875258,64.67758954281517,341
298,298,0,94.68945530726619,56.40940795523144,342
299,299,0,97.23369429899572,76.94990287273407,343
300,300,0,100.68932345936662,55.04133122711223,344
301,301,0,105.22292110708153,55.44420524412146,345
302,302,0,91.62869878619176,55.350054274812614,347
303,303,0,77.81741746697853,48.024796592681255,348
304,304,0,100.74258953797009,64.66040421401047,349
305,305,1,82.86877107094683,63.43710732604863,350
306,306,0,90.99836549063353,57.427287839683714,351
307,307,0,89.81505697123781,50.780272704910814,353
308,308,0,83.93761387569565,45.60552595130082,355
309,309,0,87.92429613766554,65.9601181170954,357
310,310,0,94.5105221207004,55.670471689756596,358
311,311,0,101.32002807933809,62.3919354798371,361
312,312,0,94.36210313997934,63.714343665669894,363
313,313,1,80.11447537973822,59.64465054834407,364
314,314,0,88.29008669495131,62.489072080184755,367
315,315,0,96.88937362797138,60.35718539902687,368
316,316,0,108.03660120114438,48.866610667745,370
317,317,0,86.23099911898957,49.513913798515865,371
318,318,0,103.6393328433908,51.95652957131513,372
319,319,0,90.90035959323814,46.62369216194853,374
320,320,1,97.96028575033162,67.56632100862899,375
321,321,1,95.12707189854781,51.90604985332523,376
322,322,0,85.87981508384945,51.944438928262926,377
323,323,0,98.77132755178131,55.88391115440962,378
324,324,0,94.17278531837007,51.90390898830707,379
325,325,0,94.95266880658544,45.21065543582434,381
326,326,0,100.19104292490317,55.91879387766818,382
327,327,0,95.79276931567291,64.25602912861063,383
328,328,0,99.92125355264479,68.75002140252798,384
329,329,1,86.92029442268917,42.18738936004077,385
330,330,0,98.29511380899899,55.39966432951483,386
331,331,0,89.78347796032371,56.47899242552289,387
332,332,0,94.6169768830837,51.79355118470928,388
333,333,1,98.88897290336544,68.21549710556305,389
334,334,0,99.72718289519342,64.46660558341185,390
335,335,0,96.6385706128729,68.60675978918594,391
336,336,0,104.80934037799001,47.25383030376081,394
337,337,1,94.92595655180673,46.896323622799244,399
338,338,0,107.24745533840361,54.419947080080014,400
339,339,0,87.12896384314851,51.77412899151877,401
340,340,0,97.35238174365445,56.78465356385976,403
341,341,0,102.07504539568826,58.92838897707989,405
342,342,0,92.2400767985363,61.829258863786634,406
343,343,0,98.14453110351393,52.52130024457869,410
344,344,0,93.94191668928639,45.255362329330715,412
345,345,0,80.96117247837485,41.48744958801754,413
346,346,0,92.48687088223814,67.97162723720977,415
347,347,0,86.21828032471062,47.24712208361767,416
348,348,0,87.6649836738981,43.22735028945292,418
349,349,0,99.30090072869339,55.439982121125404,419
350,350,0,85.01825587854474,55.011917104196705,420
351,351,0,100.03595993677675,61.4603674480951,421
352,352,0,102.57116398862166,54.70460385814458,422
353,353,1,107.47526871351393,57.12911877850137,425
354,354,0,78.40454751039036,55.30683191679425,426
355,355,1,88.40976088116258,53.35032004599904,427
356,356,0,97.52819886111767,62.5253994725133,429
357,357,0,88.51004643654431,58.245589607821124,430
358,358,0,91.57088389190994,56.859077076094835,432
359,359,0,88.03726325228212,53.91485190476944,433
360,360,1,82.74764701273843,58.8622291920257,435
361,361,0,94.98645378774049,55.2166016213242,438
362,362,0,100.14199394378359,53.058388849992255,444
363,363,0,101.51148170524749,51.42666380867962,446
364,364,2,92.36401502922435,60.16805737551154,448
365,365,1,81.86704062178036,61.05193806925369,449
366,366,0,91.70633600320316,39.42486302799587,450
367,367,1,104.92460125215786,39.64312163955624,452
368,368,0,95.65075486976298,55.18446044905868,453
369,369,0,94.27151241068226,66.81293848394952,455
370,370,0,95.44775990494485,61.62931560893711,456
371,371,0,90.37974762474816,59.43378910754514,457
372,372,0,89.3746939780585,54.73939497415561,458
373,373,0,89.13058233523996,68.49176194113898,459
374,374,0,79.12726254530267,54.881088755161024,460
375,375,0,96.76787395651243,57.24557905935992,463
376,376,0,95.8762040121559,55.29256313810654,464
377,377,0,97.88894990686423,56.619175216764255,465
378,378,0,96.66836910406175,55.7185598248876,466
379,379,0,101.44710164922066,59.8867929643251,467
380,380,0,91.36660971459825,63.11431216408422,469
381,381,1,93.6095616490436,49.551635249393335,473
382,382,0,90.62440576351513,52.55873184418034,474
383,383,1,94.58720429997291,54.40100463997695,475
384,384,0,88.00313369915487,51.162464133006836,477
385,385,0,93.56954106187412,58.012272380178445,480
386,386,0,109.35356729893054,53.60183951138899,481
387,387,2,90.32076121938083,56.87199295425064,482
388,388,1,105.09624759557823,45.966081253287506,483
389,389,0,95.66088285610103,66.90298645670458,484
390,390,0,96.85197062587278,54.11341617080945,485
391,391,0,97.40006453342299,61.313101588944015,487
392,392,0,89.48168572489998,60.03330576564985,489
393,393,0,87.68917676749751,45.70292014610259,491
394,394,0,101.70189315215882,59.894148309338995,496
395,395,0,110.01649062474698,61.09973079668366,497
396,396,0,88.54676748349918,50.79471572445283,499
397,397,0,99.33415671297999,37.97234374974619,500
398,398,0,96.72202711857173,44.429687175677195,502
399,399,0,94.15532366062727,59.50712911374401,504
400,400,0,106.15608393568245,54.48140351370478,505
401,401,0,99.99199694217388,62.374224538943054,506
402,402,0,82.3622537851359,67.07035812431447,507
403,403,0,85.92136286555579,56.902488114622074,508
404,404,0,89.78670994257529,60.637765793605524,509
405,405,1,105.54285933410054,46.11930716552003,510
406,406,2,89.04003383515703,52.19573829373722,513
407,407,1,95.35730537010254,57.65478747763942,515
408,408,0,94.77385242676836,57.59656834365407,516
409,409,0,99.91945771652757,44.99805360516862,517
410,410,0,91.40098360678994,64.99811888563914,518
411,411,0,92.13270484798156,41.55010402996421,519
412,412,0,90.20702194971902,39.002995237967106,521
413,413,0,85.63219552635275,61.30416367758822,524
414,414,0,100.58626352038809,68.4638291492617,525
415,415,0,88.52845521806637,54.36344302891182,527
416,416,0,99.61046801430449,48.43755037378804,528
417,417,0,94.72060566604146,42.491756434784534,529
418,418,0,90.03547271952013,48.90116231840559,530
419,419,0,92.88009773196521,58.59403954104198,532
420,420,0,92.37274882610375,55.165776935648694,534
421,421,1,106.42992814325898,39.235752237788574,536
422,422,0,84.47452529864107,60.36543723806617,537
423,423,0,97.84288155225218,51.42713537063545,539
424,424,0,79.19179508984172,42.4219009895678,540
425,425,0,105.90262784378064,53.862703071057695,542
426,426,0,94.31642604957383,65.07986713533683,543
427,427,2,100.47834401054979,43.782256502228364,547
428,428,0,90.15730063062001,55.31726851934385,548
429,429,0,84.81542424170192,51.18936864869972,550
430,430,0,81.62145351743781,64.93370317580205,552
431,431,0,88.06695765625362,59.68412236580581,553
432,432,0,92.02772153174175,69.74249291707513,554
433,433,0,108.90508736652473,49.63864808554408,555
434,434,0,85.52647870067402,54.37380750746942,559
435,435,0,93.28316772007946,53.54320035155583,560
436,436,1,88.7560645909184,58.328044212384896,562
437,437,0,83.59714049656519,47.31070745487495,563
438,438,0,109.0898861548682,60.010407657007065,564
439,439,0,96.0914367804381,54.70939445045773,565
440,440,0,98.84261446806403,59.04947927169621,566
441,441,0,98.5087859125495,62.457208703159324,567
442,442,0,96.54638898474491,58.44856415784676,570
443,443,1,94.64301670189985,56.83756288268575,571
444,444,0,86.89727798267761,42.06928813128862,573
445,445,0,95.48002665746519,59.14079683586915,574
446,446,0,104.7187469106661,65.04667867606398,575
447,447,1,96.67412520259211,45.780273464844804,576
448,448,0,90.75319239508558,58.58836376627384,578
449,449,0,82.43903398997125,46.696189120514724,580
450,450,0,100.6602677371722,53.35776561931374,584
451,451,0,93.80662633341016,51.91688705593862,585
452,452,1,95.60520491359145,67.65823562431295,587
453,453,1,100.91759469596667,40.88685642513225,588
454,454,0,98.99186776660159,56.09679136587956,589
455,455,0,109.33809515946884,51.513887333462336,593
456,456,0,85.4770777158848,41.713425767144386,594
457,457,0,94.06093156538968,61.564145420631846,596
458,458,1,81.12073448838997,49.24632619541106,597
459,459,0,97.00254383656467,76.88384007779528,599
460,460,0,96.58890706988268,50.127792348993,600
461,461,1,80.87900334150267,60.29090229329569,601
462,462,0,103.9628910053912,60.13580865964476,604
463,463,0,88.31418284460187,41.61495396523418,605
464,464,0,87.70932853282497,60.16494869087171,606
465,465,0,90.39446419100415,53.27423396467562,607
466,466,0,99.44303893252683,59.13689004307276,609
467,467,0,104.47171450801928,66.18264993870098,610
468,468,1,92.29421183863671,41.44431208456264,611
469,469,0,90.40644034517626,60.446880330322585,614
470,470,0,97.82628576085325,56.427997562944,615
471,471,0,104.55802964482339,51.67353621416585,616
472,472,0,92.11995214466782,49.882466880531766,618
473,473,0,81.99588645289346,44.521541808828545,619
474,474,0,77.21123651261284,54.70882757759701,624
475,475,0,83.09744653000106,44.29472687157774,625
476,476,0,96.13938697310924,62.533545124227786,627
477,477,0,89.49953069408781,52.17692831775444,629
478,478,0,86.47319627937978,60.03511256462482,630
479,479,0,102.54146684292945,52.763032506082006,632
480,480,1,109.65041228342349,49.53957361994793,637
481,481,0,97.83429890966224,55.79148924551543,638
482,482,1,105.85733725772366,47.321063995149345,639
483,483,0,99.28169559954523,54.15498703070209,640
484,484,0,89.17163315938059,42.054212583004755,643
485,485,0,82.8436145378047,63.00390886849567,645
486,486,1,85.42298999643212,64.89403143998642,647
487,487,0,97.2267178726918,51.49788828485353,648
488,488,0,93.52193071682476,52.440882130994616,649
489,489,0,110.16405861676635,51.34921084341089,650
490,490,0,99.49216217999671,43.686022876071625,651
491,491,0,88.28157898811882,45.55406877520832,652
492,492,0,95.7046361871345,45.483430885556196,654
493,493,0,95.59863598071885,56.02254753206907,655
494,494,0,88.10927516887936,74.66216384129014,657
495,495,2,100.09489006192699,47.87276730987921,660
496,496,0,95.70070520909022,45.55035126527228,662
497,497,0,78.88046182065969,41.34939280856328,663
498,498,0,95.92590480423613,51.116298687156046,665
499,499,0,87.135735981512,62.342775067902565,666
500,500,0,90.16596803346502,53.39977430440214,667
501,501,0,86.83695003858631,58.38696595191156,670
502,502,0,94.87161195840343,47.1316013819645,671
503,503,0,85.74062193197184,52.80919543258709,672
504,504,0,90.16755966840304,47.96247556168587,675
505,505,0,107.8981328332855,39.70496620669081,676
506,506,0,105.9145722836878,60.71903938937224,677
507,507,0,82.1599311802678,63.79461424410499,678
508,508,0,104.12480297806884,40.18956052004856,681
509,509,1,92.07153956692903,42.40019680275549,682
510,510,1,89.81664480917307,67.25637407403565,685
511,511,0,82.46320888176595,62.9959874770759,686
512,512,1,90.88303204592283,68.19100571568066,687
513,513,0,92.0215182077632,39.211359269323765,688
514,514,0,89.52641485190986,64.2959832340704,690
515,515,0,97.4327749894396,47.741837590599985,691
516,516,0,85.70199829174791,56.72262735963894,692
517,517,0,91.26727201371887,65.4392012384456,693
518,518,2,105.1887851852053,61.76101675825487,694
519,519,0,97.48326423332028,55.30692992084685,696
520,520,0,97.45150998916657,57.064893425905524,697
521,521,0,107.84266544390675,75.0041668254544,698
522,522,0,110.40056517792233,52.63432945541457,699
523,523,0,86.42416241884109,55.38154299914417,700
524,524,0,92.06866430755983,54.74647747346854,701
525,525,0,93.3750944797707,64.63952685783147,702
526,526,0,93.4224289571766,54.18948255134439,703
527,527,0,99.72056878008563,50.38435222056677,705
528,528,0,101.8367654594345,55.628283363857115,706
529,529,1,110.96162745588634,52.6830250688945,707
530,530,0,96.61005742733848,51.09401723775079,708
531,531,0,102.35471617551725,60.50883016159021,712
532,532,0,105.0368571983053,69.6007117911172,713
533,533,0,95.12623247338287,55.79862431541802,714
534,534,0,89.09437313697387,57.66842800317639,715
535,535,0,84.12896270770091,58.116514760639475,716
536,536,0,90.35486385770191,60.79907263451776,718
537,537,0,93.61828528385732,54.12717558838682,719
538,538,0,102.38417100907749,69.85742250184357,720
539,539,0,105.85784922459514,69.74114471790408,721
540,540,1,97.55227813967356,59.38709238569064,722
541,541,0,101.32320527705315,54.820131541897474,723
542,542,0,99.16272117480351,48.72386021962096,724
543,543,2,94.27186754638124,55.671353811050835,725
544,544,1,82.5225661528726,67.05122828862679,726
545,545,0,97.05619921567632,51.030052504325425,729
546,546,0,87.67175731174865,61.80793074540357,731
547,547,0,79.35102968425245,54.42446741406624,732
548,548,0,103.00666913061998,68.88628208259816,734
549,549,0,94.62473211330044,57.13086143600411,736
550,550,0,109.0171654002091,51.59106809951306,737
551,551,0,97.1134593270485,63.32805042165964,738
552,552,0,95.86373191735592,65.4904219926074,739
553,553,0,109.33596766382578,48.87849000880662,740
554,554,0,100.20217578525472,63.120143955350116,742
555,555,0,107.89317099376747,72.79532957979639,744
556,556,0,86.8303629426029,50.485777817472666,745
557,557,1,96.89144531049165,53.158354040900875,748
558,558,0,82.18270175342059,67.43952355449294,750
559,559,0,95.83285462969707,62.24611237092027,752
560,560,0,76.94912435847768,47.9582422096692,753
561,561,0,104.04029201748612,62.66970306907679,755
562,562,0,82.03157780904456,68.04188476878392,756
563,563,0,90.05833388193699,45.997961479023324,757
564,564,0,89.13040261167178,65.70628051522009,758
565,565,2,91.48224329041334,44.340577048583015,759
566,566,0,89.19488559180527,48.32513191068938,760
567,567,0,84.65327534745326,68.30236736092874,764
568,568,0,90.78019921984358,52.38561077597908,765
569,569,0,95.22876810393207,68.47105741004809,767
570,570,0,93.5700408920966,42.04303411356224,768
571,571,0,87.3487347116048,63.19985956321014,769
572,572,0,100.35002837648325,57.93276585254046,770
573,573,0,100.89790538704091,61.91133883725052,772
574,574,0,93.70863625614481,51.50971679396983,773
575,575,1,81.69076948937925,59.784743618931685,774
576,576,0,92.75035824526513,65.55560405774702,777
577,577,0,94.2873971386229,73.08766667432039,780
578,578,0,92.99746121101778,57.69463689924097,781
579,579,0,81.78399010744955,50.89558971598188,782
580,580,1,87.70371683411429,54.709726320390004,783
581,581,0,89.15903903303055,55.814164491874195,784
582,582,1,102.22454339988286,41.13783304322404,788
583,583,0,88.17761617159373,66.96542316811959,790
584,584,0,104.14171663724179,49.211160021023574,791
585,585,0,83.55803992649011,60.098456676085405,793
586,586,0,84.76654054961448,43.58029535739888,794
587,587,0,85.60913969756488,58.51045123125161,796
588,588,1,96.04120474875367,53.07947313688423,799
589,589,0,91.73361302843098,49.20764582325434,801
590,590,0,99.98664432192362,44.94832022284693,806
591,591,0,96.86134204064658,67.51771344710453,807
592,592,0,84.0077159332426,47.48705782093789,808
593,593,1,89.06321254721844,74.69706309882358,809
594,594,0,100.78955897404191,35.827073646414355,812
595,595,1,100.08443147246706,49.234809835344684,813
596,596,0,91.42199603410211,46.85689639256567,816
597,597,0,95.27907219993735,60.15975794601427,817
598,598,0,102.05153643576328,50.15163766592535,819
599,599,0,85.35701623885308,51.73156878346252,821
600,600,1,79.50266659355593,43.9594540112035,823
601,601,0,87.59131020709742,49.04926088646796,824
602,602,0,106.99164726101375,53.32864232152511,825
603,603,0,78.85233857094616,60.48703038200526,828
604,604,0,101.42128795608893,54.23423640494571,830
605,605,0,93.70334228193197,49.232237770643735,831
606,606,0,75.91623766151224,44.81822063027734,832
607,607,0,100.3209016074986,48.19619756606133,834
608,608,0,98.73681394344784,56.04827262029277,835
609,609,0,108.57012852263512,72.75082569629754,836
610,610,0,83.24000645563943,43.40306721565891,837
611,611,0,84.33922905852424,57.30572574386744,838
612,612,0,92.7095898071162,53.8379492640792,839
613,613,0,105.92386544103425,62.704012097752994,843
614,614,0,90.07079242073492,57.19804258680941,845
615,615,1,104.91618516824616,53.4922182299671,849
616,616,1,94.19381620314522,48.609500892219614,851
617,617,0,95.44863223954648,68.02537452921102,852
618,618,0,92.87587567703491,62.0389098657542,855
619,619,0,104.55516521622248,54.59165105521022,858
620,620,1,97.9911401349575,43.56180699296024,859
621,621,0,91.72408923229874,65.13811311821956,860
622,622,0,94.85459931869218,48.39208749688964,861
623,623,0,91.89998364982823,68.00035234622175,863
624,624,0,98.68554534145373,54.24183481908315,865
625,625,0,94.85435496877972,64.95807157080759,867
626,626,0,87.8571425723196,48.74914214648611,868
627,627,0,107.15779227643202,52.22470756747878,871
628,628,2,94.58889547116885,59.92836749225023,872
629,629,1,88.4589810334983,51.50456875076869,873
630,630,0,99.92328760438572,61.968975587072535,874
631,631,0,88.7425474790958,69.41100233626638,875
632,632,1,104.47993991714158,47.59937907630296,876
633,633,0,96.10579405829036,42.78506652045386,878
634,634,0,74.60933363772995,61.92277291411927,880
635,635,0,95.17033361078178,53.254301929006495,884
