,type,x,y
155,0,93.2669,56.0042
156,0,96.1733,55.9561
157,0,93.2708,55.9319
158,0,93.2339,55.8728
159,0,96.1511,55.8506
160,0,95.2811,55.8036
161,0,96.6231,55.7897
162,0,96.4178,55.7422
163,1,96.2939,55.7128
164,1,93.0031,55.6925
165,0,95.5881,55.6044
166,0,91.3806,55.5589
167,0,91.4592,55.5231
168,0,91.5683,55.5022
169,0,91.2625,55.4864
170,0,91.8542,55.4678
171,0,90.9942,55.4078
172,0,95.7764,55.3803
173,1,92.0883,55.3544
174,0,91.4519,55.3231
175,0,91.5014,55.2867
176,0,92.3419,55.2361
177,1,91.8875,55.2008
178,0,91.035,55.1831
179,0,92.1483,54.9553
180,0,92.44,54.5622
181,0,92.5333,54.5436
182,0,92.5497,54.445
183,0,91.9939,54.3894
184,0,92.6394,54.3214
185,0,92.1008,54.2128
186,0,92.625,53.3258
187,1,92.4469,53.2669
188,0,92.5969,53.2386
189,0,92.9067,53.1472
190,0,92.4164,53.0344
191,0,94.0764,56.3431
192,0,94.6631,56.3516
193,0,95.453,56.823
194,0,96.2012,56.8509
195,0,93.5644,56.5181
196,0,91.0846,56.4809
197,0,90.8609,57.0725
198,0,90.586,55.5784
199,0,93.038,55.4967
200,0,93.1984,54.7355
201,0,93.6373,54.6655
202,0,92.4755,54.9216
203,0,93.199,55.03
204,0,94.5959,56.4897
205,0,91.2592,56.4421
206,0,93.8596,57.0925
207,0,94.4248,57.0838
208,0,94.828,56.8895
209,0,94.2732,56.7307
210,0,93.5106,56.8924
211,0,91.0467,56.7145
212,0,100.75962901985717,58.84880230360884
213,1,96.1982907497418,61.08430910503241
214,0,95.25224209368625,59.71237873832979
215,1,98.6864921689279,61.550714399892286
216,0,100.26471165625178,59.75760240432134
217,0,95.64374296305529,61.24495844925115
218,0,101.99122541822041,60.83569217618383
219,0,99.14416554383959,60.36519877946529
220,0,95.13015889480303,60.03856403357847
221,0,100.03970808280336,59.32341494389162
222,0,100.28477203224503,60.90423321607068
223,1,98.09053944433263,60.28139842100416
224,0,96.24604535997767,60.11754079991783
225,0,98.62460500577761,59.98326568034833
226,0,98.95884487395746,58.997174078409195
227,0,100.37639433579652,60.04660787078788
228,0,93.49502599970998,59.44610027556275
229,0,94.55867083917732,61.33123069956165
230,0,97.97274391504426,59.81407351229909
231,0,100.46278338715527,60.102722318952395
232,0,96.07024548736402,59.08725255716847
233,0,93.61537027530528,60.33470402114533
234,0,100.95304730845079,58.928474793380005
235,0,98.84630268979413,60.434063703661685
236,2,96.77750405169792,59.93389280982399
237,1,94.46282954451974,60.15153355827436
238,0,100.16950672690304,59.69208367912819
239,0,94.28565671912564,60.137025808567714
240,1,96.45174835211934,60.17959231105067
241,0,94.39206659539383,58.87420528392731
242,0,94.42793845169702,60.98163321449359
243,0,95.50222127438201,60.0177680114387
244,0,94.39080383111025,59.24430053532784
245,0,94.77517090378903,60.21131936478691
246,0,95.36161940703056,59.07227452446886
247,0,95.72580669135178,58.76434344806348
248,0,94.50714954571383,60.94948490597815
249,0,97.53259613688121,59.7471852791132
250,0,95.45270980094216,59.301519504526375
251,0,94.63089643705038,60.77859388871775
252,0,97.62173977910678,59.94104065347792
253,0,98.66726225185556,58.16836721315507
254,0,97.46358403918504,60.627365901244005
255,0,96.674238558683,58.52347112731757
256,0,97.38064855017514,58.29654510828512
257,0,97.09364264454392,59.42160677397285
258,1,98.18969076762687,60.29659180652964
259,0,94.55761378180078,58.417401051629064
260,0,93.97945143769465,58.83807698076385
261,1,95.59064748888758,59.49233897168532
262,0,95.95172819882488,58.984750031097064
263,1,93.65601837620486,58.0314852360776
264,0,95.2842249013644,59.42699362144286
265,0,97.00898218411164,58.819631101484006
266,0,96.65689376876358,58.902361316653355
267,0,98.60954631577019,58.65476301646162
268,0,95.27934764148291,57.1666504553249
269,0,97.19903268371452,60.089412013537405
270,2,96.82816516857906,58.3480162621562
271,1,96.0819604590234,56.63356246444263
272,0,95.68221345625757,57.60216334664364
273,0,94.18394833650483,57.65253965718595
274,0,95.14309310978038,57.367849100796455
275,0,97.74196123444771,57.83618545826374
276,0,96.11162838734761,56.05829503686315
277,0,97.53103857493437,56.61535018134839
278,0,96.4093002358096,58.44304583555247
279,0,95.84346805124196,58.138749093557706
280,0,94.94183512218754,57.58091742722829
281,0,95.25906799548311,58.732210061926416
282,0,94.32236923723914,57.29907592950926
283,1,95.24103088581076,57.08152665729953
284,0,97.86644725550954,57.99192270776936
285,0,96.31549336932724,59.24679983005342
286,0,97.22401581647642,58.322376869633544
287,0,96.39180017055386,58.54520708407721
288,0,96.79779023777374,61.18066590158707
289,0,93.97926210638279,61.25091950502012
290,0,100.61513784879159,62.438722482993775
291,0,95.36350424315461,61.105841163394466
292,0,97.27613781186243,61.16993624628083
293,0,95.99410729514922,61.45820611965234
294,0,95.50829323980612,61.04286173063846
295,0,96.48597686428148,60.81811153385766
296,0,94.55212553167866,59.75726055505774
297,0,96.16402323372382,60.25400313871217
298,1,101.64423530912201,61.66611881744615
299,0,97.98357786912369,61.766441340882
300,0,99.54115063046797,59.48022047263462
301,2,98.6418632968635,61.00681450111203
302,1,93.56708291383669,61.32550203716335
303,1,97.24548617392718,61.81635461823611
304,0,93.54122422386052,60.83913910368309
305,0,101.01542654833182,60.537728769989556
306,0,95.0807090656355,61.455572076384975
307,0,99.52100409880829,60.01990134581094
308,0,94.44438037478055,62.9891802345237
309,0,95.71745437497529,61.006988867644175
310,0,94.00547973724478,59.37795489586931
311,0,94.83749436725633,60.1530443350172
312,0,100.65661106598982,61.44721647282216
313,0,98.72960815698498,59.95016036623775
314,0,94.14089371334538,60.885653069514625
315,0,99.33381928935736,60.903823958591715
316,0,100.32699426421331,60.427677432840014
317,0,96.84733403340088,59.70826515380903
318,0,93.88109914197359,59.942465037238094
319,0,94.95933705240004,59.61354279434055
320,0,100.0434781372555,60.582456565273034
321,0,95.01652956622294,62.284034590821356
322,0,99.85948376472571,60.50839944845204
323,0,100.77159803719589,59.7958459438026
324,1,97.25803438226565,60.35262432686589
325,0,94.45446965153266,60.27984475380264
326,0,94.65511948554786,59.84195823694392
327,0,100.26251933647383,61.82833602617255
328,0,96.62198190162323,59.51927966872977
329,0,96.69847130068634,60.085526009704274
330,0,94.65048194481844,60.871312071977435
331,0,98.67269982757277,60.90804713141128
332,0,93.4923659964732,60.2583375490487
333,0,100.80448272758284,59.90397325607285
334,0,94.2930995183338,58.522727490325316
335,2,93.38953465112934,59.57312845105085
336,0,96.69925933045894,60.4989189795007
337,0,96.42655108097692,59.768333657007
338,0,100.34398945790026,59.88323484809489
339,0,100.3016057772688,59.37326476604832
340,0,100.96202937489826,60.75839121723522
341,0,94.51103615809,59.826902276820825
342,0,92.78790212756648,60.260545803672336
343,0,96.49588635467985,60.18806410658797
344,0,100.38851958121316,61.33922297658153
345,0,93.05620958033361,59.3780027304237
346,0,99.61222311045304,59.74917621248629
347,0,99.63651309081123,60.30793217895059
348,0,94.42783080257864,60.67602067890937
349,0,95.425542661928,59.22506803411708
350,1,94.12981478884838,60.18228390727241
351,0,96.38316336516003,60.853553162674345
352,0,97.25937277957543,60.21816474500246
353,0,99.78875751335934,61.07742246821437
354,0,97.73717997566476,59.64014583282556
355,0,97.71816440650763,61.0140648872972
356,0,95.69227334537803,58.43911661264127
357,0,96.40264024667775,61.51064557476403
358,0,94.35731151567431,60.59623568783672
359,1,96.92828709405184,61.050185342091346
360,0,95.96842754896102,60.25005507812724
361,0,93.74646561807224,58.87468753759627
362,0,94.6814422393727,59.80380442648623
363,0,98.10174409637955,59.390032045728425
364,1,95.58995946896621,61.49122490601654
365,0,97.53907926923401,60.50922479554734
366,0,96.24425848561444,60.61801659596112
367,0,96.44585262738953,60.003778947716256
368,0,100.15884290942172,59.87837397783497
369,0,98.61812705919733,58.96406248025706
370,0,97.08518504813173,59.49603365775228
371,0,98.87521922980973,58.801425055255365
372,0,99.43671938544023,59.96456298389312
373,0,100.44079962083875,60.76042386143694
374,0,99.68975897591365,60.8878044676852
375,1,100.449796476271,60.0069807863341
376,1,97.34816816127629,60.53012641800493
377,0,100.51582644758214,58.54640654739798
378,0,94.76329913606378,59.65081329689474
379,0,95.0275883668833,60.58655092157689
380,0,96.20509973399065,59.29484836685806
381,0,95.92452769664753,58.81146555340424
382,0,96.06033666591027,58.18379449673167
383,0,93.9468139175363,59.692563071753256
384,0,99.4874641243111,59.67553604478151
385,1,94.85249149198414,60.21414181947893
386,0,95.11110439397633,59.66141891670771
387,0,95.64864819197872,59.04957739193645
388,0,97.02877499652477,59.1458619464565
389,1,95.06225058770559,58.95637874021679
390,0,95.74036052579174,57.99392498833839
391,0,96.72128788042166,59.43258518197328
392,0,97.14904217609603,59.1129681864966
393,0,96.22079366915756,58.83408735685811
394,0,97.14014821847144,59.45401209384475
395,0,94.93257166231464,58.83771892801444
396,0,97.54936951997837,58.47571112797414
397,0,95.596023741459,57.68851035487303
398,0,96.51563779495294,57.11061894350614
399,1,95.58530679974076,58.5077839861947
400,0,94.31462252839495,58.39881850706463
401,0,96.54412294447455,58.98647595779517
402,0,97.44903330378196,57.07485648818671
403,0,96.87775113048103,58.46610986067315
404,0,99.1416485367169,58.667316326576106
405,0,100.79850913089948,60.38598044710515
406,0,99.18017429138989,60.76786111414177
407,0,97.06757661926406,59.23907032523534
408,0,95.04841398898596,59.767122019384864
409,0,94.66977371653108,62.09388067878678
410,0,94.79580010900212,59.11169653705307
411,0,96.86207408664264,59.231481511238265
412,0,97.4446794954474,58.21213046986472
413,0,98.55530523177933,59.564349759495165
414,0,96.43553301333012,58.230605703820544
415,0,97.66897294158395,59.865808977869676
416,0,99.6403597022353,60.94259793500064
417,0,95.1889308965587,60.73893847780928
418,0,96.6866647353505,60.689692044324275
419,0,97.81327502338578,60.63987612895566
420,0,101.12912322003959,60.671376879256435
421,0,99.4475256855953,60.139476994095816
422,0,98.5991941562844,61.01393287974539
423,0,95.40948650996583,60.40393723758605
424,0,91.87678256089968,52.51088908100602
425,1,86.85263285898675,51.17197836798512
426,0,86.95366980998591,51.73625722844144
427,1,92.00861636232165,53.75683837309477
428,0,92.9734847172935,52.45298286683704
429,0,87.23404338591976,51.0457922537258
430,0,92.56855341931919,53.341305119667624
431,0,91.19271996948214,52.823976951619755
432,0,87.89898689096243,53.42256651580228
433,0,94.1603066967045,52.345956299077045
434,0,94.06570631695976,52.39753573120426
435,1,92.71657203619287,51.772953109007894
436,0,88.27855558029357,53.001557625060386
437,0,92.21204551598693,52.7224655440901
438,0,92.0079857647083,53.142801932974386
439,0,93.74685766648619,52.92001610903933
440,0,86.73595467296948,51.60555634272295
441,0,86.15207504724721,52.37164127466182
442,0,90.37679158185264,52.390238565815984
443,0,91.39470946436393,52.63901739502679
444,0,87.92936679357435,52.47543233572377
445,0,85.51434753351356,52.958293474811036
446,0,91.9775384384883,52.29397332397672
447,0,91.45175776464565,52.58684021503025
448,2,90.49910913421421,51.3152594839791
449,1,87.28508211364803,52.30093916384954
450,0,92.12101090866292,52.38260171585822
451,0,86.0402202608256,52.00186679600688
452,1,89.55498104940837,52.159513387364804
453,0,86.12871899947164,52.015040634473436
454,0,85.80884678761942,51.725208440770814
455,0,88.68205004366625,53.137622429567
456,0,86.78829758441914,51.07813067250449
457,0,85.01487493244164,51.76727364841514
458,0,85.32589314331679,51.98881636648702
459,0,88.3856131530567,51.43545677295099
460,0,85.96626313703669,51.06507010429376
461,0,88.58610574696284,52.20426045514702
462,0,86.73885390970466,50.680786867696206
463,0,85.13880559292123,51.81859805215255
464,0,90.18949066408689,52.35403805312336
465,0,89.19274401675287,50.20311939275884
466,0,89.48516261809031,52.130549252079945
467,0,88.77744880231683,52.0099913711639
468,0,89.17798594922039,50.049462298213754
469,0,90.11123050319762,51.464000236926665
470,1,88.86011433397908,51.794635108300454
471,0,86.42064572876748,49.082725628019816
472,0,87.02336655180339,51.22501682487908
473,1,85.25731541053594,50.663764806672674
474,0,89.16295781878273,50.25147226302049
475,1,85.70959737383511,50.78525308185385
476,0,88.32761955600976,50.67625666957946
477,0,85.7060539863876,50.37323578989924
478,0,88.75000323506092,49.29379050483064
479,0,89.70784191185263,50.855230669244385
480,0,88.72463829017714,49.62838985663736
481,0,89.95661631239791,51.369487319713926
482,2,90.55338779377165,49.66854372019721
483,1,88.10155838275529,49.89150017980471
484,0,87.9493565458915,50.51085068371103
485,0,87.36743772641053,50.47994829588782
486,0,87.51774426434056,50.42704239534407
487,0,88.04030063597203,49.75190701706122
488,0,88.05900661527609,50.37642201568869
489,0,87.25940567659312,49.30546105954937
490,0,88.93165472366258,49.88195031554263
491,0,88.76660210336978,49.32942708686694
492,0,88.00177882370353,48.35888307820421
493,0,88.38646900225586,49.13708744708581
494,0,88.80049444210468,50.17179233817366
495,1,88.19089045451092,50.38925575109949
496,0,87.87615299624537,50.40151404647153
497,0,88.65988209259035,50.945875683936826
498,0,89.37199550597389,49.02757403746762
499,0,89.41725946465576,49.61486249160923
500,0,89.84810090377577,53.32836974629441
501,0,86.46069861931387,52.768217537424874
502,0,90.37636509678981,53.24944682212531
503,0,85.73811034746659,51.95788145120818
504,0,88.72692702572202,54.41772383255494
505,0,85.68328657779712,52.24078053810782
506,0,86.87980449345787,55.5272578965625
507,0,89.58757562807591,51.56209700554806
508,0,87.36620479274207,53.88411855367826
509,0,87.23521175946719,52.91269837493985
510,1,93.49026279065909,52.68543255903059
511,0,88.66354265869138,53.14824392877762
512,0,91.97900298157916,52.799529748179815
513,2,88.12588437062753,53.116992376495794
514,1,86.66301488184311,54.29372617403519
515,1,88.82798251798103,52.25294182587998
516,0,86.8269009230121,53.67009409591036
517,0,91.64943958576328,53.08294759683939
518,0,86.80977890589365,53.4253578038653
519,0,92.44857427085539,53.269975105161336
520,0,88.19499348083656,53.751803720203625
521,0,88.42419866810505,53.37008275195327
522,0,87.02097528103957,53.60295161607897
523,0,86.74837012043845,51.52277137540013
524,0,92.86316822315446,53.69737298795398
525,0,91.32456487950621,52.2112408183176
526,0,88.01538278138626,52.69025006816036
527,0,92.3558501499005,53.15289740596448
528,0,93.0662153798784,52.23094792488012
529,0,89.1369651196042,52.75453735919527
530,0,85.29097663648804,52.7004350994849
531,0,87.32625715659283,52.73282477998685
532,0,91.29482387310105,53.76355561323592
533,0,87.25254351403474,54.014109266465425
534,0,92.77148559184077,51.93100552585527
535,0,91.50676053731966,52.386396696363526
536,1,89.1587601270592,50.862393480977204
537,0,85.6234918638394,53.98344318145246
538,0,85.53289930882094,53.7914762339838
539,0,91.0403717380703,52.023187826502856
540,0,89.04029612899298,52.38596555301286
541,0,87.44546330402811,51.81476184822157
542,0,86.62894794578098,52.449025375665215
543,0,91.55188198541583,52.45529586129407
544,0,86.16771479631336,52.50376660518827
545,0,92.76683636852559,51.48301541487457
546,0,87.10517127127696,52.505094497348026
547,2,86.03099422627095,51.23445609017402
548,0,89.38110525038888,53.04849442861874
549,0,87.91217585722946,53.02148321084387
550,0,89.78757551855912,52.90541543682942
551,0,92.64645744283163,53.04480532925261
552,0,91.75294981209163,51.308230532725545
553,0,86.58620254049245,52.98926945917654
554,0,85.47964539964045,51.188575642713445
555,0,88.27325519335564,52.1113430224398
556,0,90.89704431288334,51.67619007643438
557,0,86.58308027570638,52.25617070958221
558,0,94.0515802398596,51.16985062458344
559,0,92.6535109561271,52.1312987935221
560,0,85.70362414833265,52.69832397875833
561,0,86.99706584711785,54.057878997172956
562,1,86.54325494442081,52.473187471397445
563,0,88.06391634364738,52.254484988880854
564,0,87.17342999716628,51.20167397752131
565,0,91.72561487207847,51.271819752526575
566,0,90.64548068209801,51.97407869158793
567,0,89.2375059311631,52.95241419834083
568,0,88.59733823048536,51.518381291407934
569,0,87.88194016359849,51.9512348891041
570,0,86.5456307637198,51.42008699851381
571,1,90.11733034819913,51.93985391367302
572,0,89.74110638699312,51.674265440692544
573,0,86.53414610497839,51.12096395505134
574,0,86.18294933143311,52.59832068535771
575,0,89.87774030959325,50.62196144442997
576,1,86.57973145643807,51.688295654799305
577,0,87.86253650432985,52.527249869675316
578,0,89.00631403549902,51.03787560292122
579,0,90.61972697570778,50.24482044819362
580,0,91.75663645027237,51.573630883923634
581,0,89.5574165286359,53.00460947150795
582,0,89.47230684101284,52.81207761040742
583,0,92.73950276292615,51.082288436986424
584,0,90.90727839233718,50.9096815342517
585,0,92.38286352365,51.111589388204315
586,0,92.86749018403746,51.010773978404224
587,1,91.74861861557034,51.18400600677844
588,1,88.68676524220538,51.97159982732762
589,0,91.66866468089829,51.82948716532593
590,0,88.83118737864739,51.38462278917005
591,0,87.59280658814241,51.971470148148285
592,0,86.89800237628491,51.84702874246899
593,0,86.67404733659836,51.2954954333751
594,0,87.503849574028,51.4746329459561
595,0,87.45302446748683,51.36981835329981
596,0,92.07434382659626,51.29598177084577
597,1,88.76238481735749,51.458556424076086
598,0,86.83814471234427,52.49058468838627
599,0,87.15562585049973,50.45039190659713
600,0,87.64670570670337,50.76514592275311
601,1,87.19257616188743,51.968841807352355
602,0,86.74587172276378,50.49283570267758
603,0,87.97492750655779,50.528602933325054
604,0,87.31199651570341,50.18389261781732
605,0,88.11642054271222,49.664129167305845
606,0,87.75553301462067,50.18960590599811
607,0,87.34008826133368,50.130224237214655
608,0,88.15121905589871,50.11116436396586
609,0,88.11316659512704,51.516270095986535
610,0,89.2690045335157,49.56585191523516
611,1,87.34125230859445,48.86530667115195
612,0,87.70962511888331,48.888504804533156
613,0,90.63758252672001,50.67535144387928
614,0,89.53621755674017,48.9790416713795
615,0,91.19503525406193,53.57960631148548
616,0,92.24895795672712,52.46269508684947
617,0,90.60808206728454,53.24839280728776
618,0,91.19945479347602,52.4037836726789
619,0,89.61077470861837,51.406704321066556
620,0,87.69320189905525,52.1983001306978
621,0,87.1519320923069,54.105225496456484
622,0,85.55375520512165,52.516207555555376
623,0,90.8412549874133,52.55544207926478
624,0,88.19071660303739,50.43304286921612
625,0,90.12777584560257,50.70207479710962
626,0,88.29877883963302,50.3463673724393
627,0,89.97510261147897,51.5822712973584
628,0,89.5260408016733,51.403046934271345
629,0,85.99038531080184,52.83914211570704
630,0,89.38364959617104,53.28856032303855
631,0,90.4593877999661,53.29927432318212
632,0,90.63861146076519,53.315139504772695
633,0,91.02035871776262,52.48499691722213
634,0,89.30125394123534,54.19786996615271
635,0,86.98550204120681,51.778094439483574
636,0,91.95642727404983,59.260611362833
637,1,87.24087867095899,60.725647000657915
638,0,89.00594083044619,61.1226892313958
639,1,90.83991053504742,58.947651500345756
640,0,92.16909497071747,60.324069179771804
641,0,87.52946338606421,59.18659576444077
642,0,93.09303667389958,60.47861488174665
643,0,91.94013429192137,60.65975289270276
644,0,87.76525374805017,59.363849094310204
645,0,91.92049170302042,60.68460951197611
646,0,94.80513591279204,59.25253638764124
647,1,92.30265222221337,61.1112437549616
648,0,87.53046363902332,60.13050458697635
649,0,92.59150095722526,60.90458775617211
650,0,92.45323179530652,61.34961512332728
651,0,93.54569509008249,60.86418168873398
652,0,85.79818853586679,60.66645931415695
653,0,84.08963479944084,60.03457257257391
654,0,91.4373805480621,59.817380021801576
655,0,90.8538288430155,60.875913286218655
656,0,86.70716246378187,60.25788695362925
657,0,85.12621055106025,59.666228782634214
658,0,92.20824512535788,59.887609778349024
659,0,91.36318024144543,60.38289541860169
660,2,90.9566528705402,60.72708069940905
661,1,86.83373749493803,58.840927108033554
662,0,90.77072258285106,59.13070554851029
663,0,85.94816259296401,59.65348437865467
664,1,90.5044966269422,58.7458965099564
665,0,85.44186063779026,59.307370552145805
666,0,85.33263410530243,58.68857440777245
667,0,86.7657080132951,59.178888372925925
668,0,87.69538216548527,58.709622305668184
669,0,87.27062344242972,59.04711569475462
670,0,86.48699513293045,60.08265706283481
671,0,86.96389545122149,59.877928942802235
672,0,86.3399542673918,60.47240281181441
673,0,89.66448437176362,59.79641586404116
674,0,86.39670079287168,59.54307338011478
675,0,85.04844252333996,59.144863066472915
676,0,88.99510989876362,59.460786742100574
677,0,89.90244744428169,59.6366513617978
678,0,89.14167925606583,59.36864175893485
679,0,88.84406865074077,59.90188890927285
680,0,88.55841285924562,57.78563265164669
681,0,88.79287110401327,59.32791054882144
682,1,89.31861239540726,59.393397420583526
683,0,85.7714069700055,57.95263083807142
684,0,86.73734340574754,57.90468858507439
685,1,87.56724840324961,59.528626991238575
686,0,90.09559476958056,57.19320708102589
687,1,88.0766086633704,58.79543471314174
688,0,86.86944196016282,58.16377061229776
689,0,86.88519291299174,58.2844126309303
690,0,87.81087489257564,58.55628835337366
691,0,89.34029221690265,57.70581463069304
692,0,89.21140924460494,55.69481274306861
693,0,88.5628544483132,58.70128697357701
694,2,88.93156520214409,59.75600315347521
695,1,88.44468751835167,58.76944044676404
696,0,88.28612967454482,56.64719625865289
697,0,86.89081924545496,55.748467428549105
698,0,88.02689480118917,58.20204222069478
699,0,88.20789482257224,58.58719681494465
700,0,87.15825074491062,58.48840071675979
701,0,87.66946172982908,56.837692054342476
702,0,88.97307261979562,58.16142567530126
703,0,89.26544388869159,57.37948132326378
704,0,88.1479587973433,58.70748525784221
705,0,87.51720199111097,58.312055262365014
706,0,88.40211335785064,57.67640346868883
707,1,87.5525658260622,58.40635177711056
708,0,89.32940603868498,58.34923597387841
709,0,88.79563960723485,57.2939455911483
710,0,88.6218667095844,57.64310065721754
711,0,87.89513746993902,58.53402470300719
712,0,89.6244859769279,61.58203056911782
713,0,86.65047120266952,62.09296478137774
714,0,92.98032378272475,61.18308170442437
715,0,87.52237180579826,60.492707763004816
716,0,91.09713916007576,62.44527308408726
717,0,87.3919433433646,61.18194781001294
718,0,87.84708928968735,61.36092147915184
719,0,88.50789359971914,61.02238012121062
720,0,86.92771574432544,62.5847441265006
721,0,86.60465941167793,60.838125693422114
722,1,92.2400135935375,59.65001516622392
723,0,89.94611264647799,60.77965901239808
724,0,91.00114060768892,60.4233951188864
725,2,88.505251064991,60.36271466712308
726,1,86.24723404800339,60.53577176707677
727,1,88.7241419259336,60.50488851491551
728,0,86.42844631683724,60.775338152002874
729,0,90.92051074032591,61.459842146778556
730,0,86.23728063215847,61.73609376853081
731,0,92.18056214436203,61.088294189608504
732,0,86.17728210951601,60.78115129927728
733,0,89.5687306171616,60.23377305189809
734,0,86.08282911808905,59.45791514514515
735,0,86.70735961797438,61.92616575727218
736,0,92.33103436484538,59.50309603748123
737,0,92.35935085438143,60.98221408278639
738,0,85.25314501621534,61.0871926816186
739,0,92.6383852245868,59.81914905297844
740,0,92.54651817825496,60.6491155173583
741,0,88.71513689135422,62.729095121504
742,0,84.73111375000207,59.06056894370026
743,0,86.06526678469093,61.824189546815134
744,0,93.12496728213553,59.56239970783565
745,0,87.78465958842189,60.504918204872
746,0,91.55909771590446,60.303362600357694
747,0,91.82974395344228,61.65549534911696
748,1,87.24465073894011,60.605031573195866
749,0,85.70038440533384,60.68403766193481
750,0,85.13762859329098,60.19883249349241
751,0,91.14607611906192,60.53474749322999
752,0,89.30727454309353,61.666799672744176
753,0,86.10061139042564,60.03171163138878
754,0,85.71652597108205,59.26136965340469
755,0,91.66954095269763,59.19878287215268
756,0,86.08630361310075,60.690777413433835
757,0,91.27359375891459,61.01694504340316
758,0,87.04579854165046,60.540145140699536
759,2,85.41627977254389,60.062901895563094
760,0,88.60578027557708,61.030627808887004
761,0,88.68966378450162,59.89590276802955
762,0,92.08282141604643,59.923955145445696
763,0,92.36511578827466,59.72339978808006
